task_id,task_type,weather,operator_skill,machine_age,start_hour,estimated_min,actual_min,source
S00355,Demolition,Sunny,Beginner,9,15,120,170,synthetic
S00356,Grading,Windy,Intermediate,1,10,30,32,synthetic
S00357,Trenching,Cloudy,Intermediate,4,13,40,42,synthetic
S00358,Demolition,Cloudy,Intermediate,6,14,70,76,synthetic
S00359,Grading,Sunny,Intermediate,10,9,40,44,synthetic
S00360,Demolition,Rainy,Expert,5,13,125,135,synthetic
S00361,Demolition,Cloudy,Intermediate,7,17,100,111,synthetic
S00362,Demolition,Rainy,Intermediate,1,7,105,118,synthetic
S00363,Grading,Cloudy,Beginner,6,12,40,61,synthetic
S00364,Material Loading,Sunny,Expert,1,8,30,28,synthetic
S00365,Grading,Rainy,Beginner,7,7,40,59,synthetic
S00366,Demolition,Sunny,Beginner,4,13,70,95,synthetic
S00367,Trenching,Rainy,Intermediate,1,9,55,67,synthetic
S00368,Demolition,Rainy,Beginner,3,17,105,137,synthetic
S00369,Grading,Sunny,Expert,7,13,35,37,synthetic
S00370,Earth Excavation,Cloudy,Intermediate,7,16,90,113,synthetic
S00371,Trenching,Rainy,Intermediate,2,10,35,44,synthetic
S00372,Trenching,Windy,Beginner,6,15,70,106,synthetic
S00373,Earth Excavation,Cloudy,Intermediate,1,12,55,60,synthetic
S00374,Material Loading,Sunny,Intermediate,4,10,30,32,synthetic
S00375,Material Loading,Sunny,Beginner,0,9,25,31,synthetic
S00376,Demolition,Sunny,Expert,1,8,110,103,synthetic
S00377,Demolition,Sunny,Expert,10,13,85,88,synthetic
S00378,Earth Excavation,Cloudy,Expert,2,11,80,74,synthetic
S00379,Trenching,Windy,Beginner,1,7,30,40,synthetic
S00380,Material Loading,Sunny,Intermediate,9,9,45,50,synthetic
S00381,Earth Excavation,Windy,Intermediate,9,12,75,97,synthetic
S00382,Demolition,Sunny,Intermediate,8,7,100,123,synthetic
S00383,Material Loading,Sunny,Expert,5,14,40,37,synthetic
S00384,Grading,Rainy,Beginner,0,8,50,65,synthetic
S00385,Grading,Sunny,Expert,9,9,45,42,synthetic
S00386,Earth Excavation,Rainy,Expert,6,17,60,76,synthetic
S00387,Grading,Windy,Expert,5,17,55,60,synthetic
S00388,Demolition,Windy,Beginner,2,17,125,191,synthetic
S00389,Grading,Cloudy,Beginner,10,13,25,36,synthetic
S00390,Grading,Rainy,Expert,7,7,45,53,synthetic
S00391,Earth Excavation,Cloudy,Intermediate,5,10,80,88,synthetic
S00392,Earth Excavation,Sunny,Intermediate,4,9,75,78,synthetic
S00393,Material Loading,Sunny,Intermediate,10,16,45,54,synthetic
S00394,Earth Excavation,Cloudy,Expert,5,17,80,85,synthetic
S00395,Earth Excavation,Sunny,Beginner,4,7,75,95,synthetic
S00396,Demolition,Cloudy,Expert,8,15,90,101,synthetic
S00397,Material Loading,Cloudy,Beginner,3,16,30,45,synthetic
S00398,Demolition,Sunny,Intermediate,3,16,145,151,synthetic
S00399,Trenching,Cloudy,Expert,1,7,35,34,synthetic
S00400,Material Loading,Sunny,Intermediate,5,12,20,21,synthetic
S00401,Material Loading,Sunny,Intermediate,3,14,20,19,synthetic
S00402,Material Loading,Cloudy,Expert,3,11,20,19,synthetic
S00403,Earth Excavation,Cloudy,Intermediate,1,7,55,60,synthetic
S00404,Grading,Sunny,Intermediate,1,15,35,38,synthetic
S00405,Trenching,Rainy,Intermediate,9,10,30,40,synthetic
S00406,Material Loading,Windy,Beginner,8,7,35,51,synthetic
S00407,Demolition,Sunny,Expert,1,17,105,99,synthetic
S00408,Earth Excavation,Sunny,Beginner,0,12,60,83,synthetic
S00409,Trenching,Sunny,Expert,7,17,45,47,synthetic
S00410,Grading,Sunny,Expert,0,17,40,37,synthetic
S00411,Demolition,Cloudy,Expert,7,16,145,145,synthetic
S00412,Earth Excavation,Sunny,Beginner,3,12,50,70,synthetic
S00413,Trenching,Sunny,Intermediate,4,11,35,39,synthetic
S00414,Grading,Cloudy,Expert,4,9,45,48,synthetic
S00415,Material Loading,Cloudy,Intermediate,7,10,30,33,synthetic
S00416,Earth Excavation,Windy,Expert,4,10,65,71,synthetic
S00417,Material Loading,Sunny,Expert,7,15,35,36,synthetic
S00418,Trenching,Cloudy,Beginner,1,14,60,74,synthetic
